abandon	elhagyott
identify	azonosítani
identifying	azonosítása
identity	identitás
ideological	ideológiai
ideology	ideológia
idiot	idióta
if	ha
ignorance	tudatlanság
ignore	figyelmen kívül hagyni
ignored	figyelmen kívül hagyva
ill	beteg
illegal	illegális
illness	betegség
illuminated	megvilágítva
illusion	illúzió
illustrated	illusztrált
image	kép
images	képeket
imagination	képzelet
imagine	Képzeld el
imagined	elképzelte
imaging	képalkotás
immediate	azonnali
immediately	azonnal
immigrants	bevándorlók
immigration	bevándorlás
immune	immunis
immunity	immunitás
impact	hatás
impacts	hatások
imperial	császári
implement	végrehajtani
implementation	végrehajtás
implemented	végrehajtva
implementing	megvalósítása
implications	következményei
implies	arra utal
importance	fontosságát
important	fontos
imported	importált
impose	előírni
imposed	kiszabott
impossible	lehetetlen
impressed	lenyűgözött
impressive	hatásos
imprisoned	bebörtönzött
imprisonment	bebörtönzés
improve	javítani
improved	javított
improvement	javulás
improvements	fejlesztések
improves	javítja
improving	javuló
in	ban ben
inaugural	beiktatása
inch	hüvelyk
incidence	előfordulása
incident	incidens
incidents	események
include	tartalmazza
included	beleértve
includes	magába foglalja
including	beleértve
inclusion	befogadás
income	jövedelem
incomplete	befejezetlen
incorporate	beépíteni
incorporated	bejegyzett
incorrect	helytelen
increase	növekedés
increased	megnövekedett
increases	növeli
increasing	növekvő
increasingly	egyre inkább
incredible	hihetetlen
incredibly	hihetetlenül
incumbent	hivatalban lévő
indeed	valóban
independence	függetlenség
independent	független
independently	függetlenül
Indian	indián
indians	indiánok
indicate	jelezze
indicated	jelzett
indicates	azt jelzi
indication	jelzés
indicator	indikátor
indicators	mutatók
indigenous	bennszülött
indirect	közvetett
individual	Egyedi
individually	egyénileg
individuals	magánszemélyek
indonesia	Indonézia
indonesian	indonéz
indoor	beltéri
induce	indukál
induced	indukált
inducted	beiktatták
induction	indukció
industrial	ipari
industries	iparágak
industry	ipar
inevitable	elkerülhetetlen
infantry	gyalogság
infected	fertőzött
infection	fertőzés
infections	fertőzések
infectious	fertőző
inferior	alsóbbrendű
infinite	végtelen
inflammatory	gyulladásos
inflation	infláció
influence	befolyás
influenced	befolyásolta
influences	befolyásolja
influential	befolyásos
inform	tájékoztatni
informal	informális
information	információ
informed	tájékozott
infrared	infravörös
infrastructure	infrastruktúra
ingredient	hozzávaló
ingredients	összetevőket
inhabitants	lakosok
inhabited	lakott
inherent	velejárója
inheritance	öröklés
inherited	örökölt
inhibitors	inhibitorok
initial	a kezdeti
initially	alapvetően
initiated	kezdeményezett
initiative	kezdeményezés
initiatives	kezdeményezések
injected	befecskendezve
injection	injekció
injured	sérült
injuries	sérülések
injury	sérülés
ink	tinta
inn	fogadó
inner	belső
innocent	ártatlan
innovation	innováció
innovations	innovációk
innovative	újító
input	bemenet
insect	rovar
insects	rovarok
insert	betét
inserted	behelyezve
inside	belül
insight	betekintést
insisted	ragaszkodott hozzá
inspection	ellenőrzés
inspiration	ihlet
inspired	ihletett
install	telepítés
installation	telepítés
installations	installációk
installed	telepítve
instance	példa
instances	esetek
instant	azonnali
instantly	azonnal
instead	helyette
institute	intézet
institution	intézmény
institutional	intézményi
institutions	intézmények
instruction	utasítás
instructions	utasítás
instrument	hangszer
instrumental	hangszeres
instruments	hangszerek
insufficient	elégtelen
insulation	szigetelés
insulin	inzulin
insurance	biztosítás
intact	ép
intake	bevitel
integral	integrál
integrate	egyesít
integrated	integrált
integration	integráció
integrity	sértetlenség
intellectual	szellemi
intelligence	intelligencia
intelligent	intelligens
intend	szándékozik
intended	szándékolt
intense	erős
intensity	intenzitás
intensive	intenzív
intent	elszánt
intention	szándék
intentions	szándékait
interact	egymásra hat
interaction	kölcsönhatás
interactions	interakciók
interactive	interaktív
interested	érdekelt
interesting	érdekes
interests	érdekeit
interface	felület
interfere	beavatkozni
interference	interferencia
interior	belső
intermediate	közbülső
internal	belső
international	nemzetközi
internationally	nemzetközileg
interpretation	értelmezés
interpreted	értelmezni
interrupted	megszakított
intersection	útkereszteződés
interval	intervallum
intervals	időközönként
intervention	közbelépés
interventions	beavatkozások
interview	interjú
interviewed	interjút készített
interviews	interjúk
intestinal	bél-
intimate	meghitt
into	-ba
introduce	bemutatni
introduced	bemutatott
introduces	bemutatja
introducing	bemutatása
introduction	bevezetés
invaded	megszállta
invasion	invázió
invasive	invazív
invented	feltalált
invention	találmány
inventory	leltár
invest	befektetni
investigate	vizsgálja meg
investigated	kivizsgálták
investigating	nyomoz
investigation	vizsgálat
investigations	vizsgálatok
investments	beruházások
investor	befektető
investors	befektetők
invisible	láthatatlan
invitation	meghívás
invite	meghív
invited	meghívott
involve	bevonni
involved	magában foglal
involvement	bevonása
involves	magában foglalja
involving	bevonásával
ions	ionok
iran	irán
iraq	Irak
ireland	Írország
irish	ír
iron	Vas
irregular	szabálytalan
irrigation	öntözés
is	van
islam	iszlám
islamic	iszlám
island	sziget
islands	szigetek
isolated	izolált
isolation	elkülönítés
israel	Izrael
Israeli	izraeli
issue	probléma
issued	kiadott
issues	problémák
istanbul	Isztambul
it	azt
italian	olasz
italy	Olaszország
item	tétel
items	tételeket
its	annak
itself	maga
jacket	dzseki
jacob	Jákób
jail	börtön
jam	lekvár
january	január
japan	Japán
japanese	japán
java	Jáva
jaw	állkapocs
jay	szajkó
jazz	dzsessz
jealous	irigy
jean	farmer
jeans	Farmer
jersey	mez
jerusalem	Jeruzsálem
jesus	Jézus
jet	vadászgép
jewelry	ékszerek
jewish	zsidó
jews	zsidók
job	munka
jobs	munkahelyek
john	János
join	csatlakozik
joined	csatlakozott
joining	csatlakozás
joint	közös
joints	ízületek
joke	tréfa
jokes	vicceket
jordan	Jordánia
joseph	József
journal	folyóirat
journalism	újságírás
journalist	újságíró
journalists	újságírók
journey	utazás
joy	öröm
judge	bíró
judges	bírák
judgment	ítélet
judicial	bírósági
juice	gyümölcslé
July	július
jump	ugrás
jumped	ugrott
junction	csomópont
june	június
jungle	dzsungel
jurisdiction	joghatóság
jury	zsűri
just	éppen
justice	igazságszolgáltatás
justify	igazolni
kazakhstan	kazahsztán
keep	tart
keeping	tartása
keeps	megtartja
kept	tartotta
key	kulcs
keyboard	billentyűzet
keys	kulcsok
khan	kán
kick	rúgás
kid	kölyök
kidnapped	elrabolták
kidney	vese
kids	gyerekek
kill	megöl
killed	megölték
killer	gyilkos
killing	gyilkolás
kills	megöl
kilometers	kilométerre
kind	kedves
kindness	kedvesség
kinds	fajtái
king	király
kingdom	királyság
kings	királyok
kiss	csók
kissed	megcsókolt
kissing	csókolózás
kit	készlet
kitchen	konyha
knee	térd
knees	térdre
knew	tudta
knife	kés
knight	lovag
knights	lovagok
knives	kések
knock	kopogás
knocked	kopogtatott
know	tud
knowing	tudván
knowledge	tudás
known	ismert
knows	tudja
korean	koreai
Kyoto	Kiotó
lab	labor
label	címke
labels	címkéket
labor	munkaerő
laboratories	laboratóriumok
laboratory	laboratórium
labour	munkaerő
lace	csipke
lack	hiánya
lacks	hiányzik
ladder	létra
ladies	hölgyek
lady	hölgy
laid	terített
lake	tó
lakes	tavak
lamb	Bárány
lamp	lámpa
lamps	lámpák
land	föld
landed	leszállt
landing	leszállás
landmark	tájékozódási pont
lands	földeket
landscape	tájkép
landscapes	tájak
lane	sáv
language	nyelv
languages	nyelvek
lap	körben
large	nagy
largely	nagymértékben
larger	nagyobb
largest	legnagyobb
larvae	lárvák
laser	lézer
last	utolsó
lasted	tartott
lasting	tartós
lasts	tart
late	késő
lately	utóbbi időben
later	a későbbiekben
lateral	oldalsó
latest	legújabb
latter	utóbbi
lattice	rács
latvia	Lettország
laugh	nevetés
laughed	nevetett
laughing	nevetés
laughter	nevetés
launch	dob
launched	elindított
laundry	mosoda
lava	láva
law	törvény
lawn	gyep
laws	törvényeket
lawsuit	per
lawyer	jogász
lawyers	ügyvédek
lay	világi
layer	réteg
layers	rétegek
laying	lefektetés
layout	elrendezés
lazy	lusta
lead	vezet
leader	vezető
leaders	vezetők
leadership	vezetés
leading	vezető
leads	vezet
leaf	levél növényen
league	liga
lean	sovány
learn	tanul
learned	tanult
learning	tanulás
learns	tanul
least	legkevésbé
leather	Bőr
leave	elhagy
leaves	levelek
leaving	kilépő
lebanon	Libanon
lecture	előadás
lectures	előadások
led	vezette
left	bal
leg	láb
legacy	örökség
legal	jogi
legally	legálisan
legend	legenda
legendary	legendás
legends	legendák
legislation	jogszabályokat
legislative	törvényhozó
legislature	törvényhozás
legitimate	jogos
legs	lábak
leisure	szabadidő
lemon	citrom
lend	kölcsönöz
length	hossz
lens	lencse
lenses	lencsék
leo	Oroszlán
lesions	elváltozások
less	Kevésbé
lesser	kevesebb
lesson	lecke
lessons	leckéket
let	hagyja
letter	levél
letters	leveleket
letting	bérbeadása
level	szint
levels	szinteket
levy	illeték
liability	felelősség
liberal	liberális
liberation	felszabadulás
liberty	szabadság
libraries	könyvtárak
library	könyvtár
libya	Líbia
license	engedély
licensed	engedélyezett
lie	fekszik
lied	hazudott
lies	hazugságok
lieutenant	hadnagy
life	élet
lifestyle	életmód
lifetime	élettartam
lift	emel
lifting	emelés
light	fény
lighter	öngyújtó
lighting	világítás
lightly	könnyen
lightning	villám
lights	Lámpák
lightweight	könnyűsúlyú
like	mint
liked	tetszett
likely	valószínűleg
likes	kedveli
lime	mész
limestone	mészkő
limit	határ
limitations	korlátozások
limited	korlátozott
limiting	korlátozó
limits	határait
line	vonal
linear	lineáris
lined	bélelt
lines	vonalak
linguistic	nyelvi
lining	bélés
linked	linkelve
links	linkeket
lion	oroszlán
lions	nevezetességek
lip	ajak
lips	ajkak
liquid	folyékony
liquids	folyadékok
list	lista
listed	listázott
listen	hallgat
listened	hallgatott
listening	hallgat
lists	listákon
lit	megvilágított
literally	szó szerint
literary	irodalmi
literature	irodalom
lithium	lítium
lithuania	Litvánia
little	kis
live	élő
lived	élt
lively	élénk
liver	máj
lives	él
livestock	állatállomány
living	élő
load	Betöltés
loaded	töltött
loading	Betöltés
loads	terhelések
loan	hitel
loans	kölcsönök
local	helyi
locally	helyileg
locals	helyiek
locate	keresse meg
location	elhelyezkedés
locations	helyszíneken
lock	zár
locked	zárt
lodge	házikó
logic	logika
logical	logikus
logistics	logisztika
logo	logó
lonely	magányos
long	hosszú
longer	hosszabb
longest	leghosszabb
look	néz
looked	nézett
looking	keres
looks	úgy néz ki
loop	hurok
loose	laza
lords	urak
lose	elveszít
loses	veszít
losing	vesztes
loss	veszteség
losses	veszteség
lost	elveszett
lot	sok
lots	sok
lottery	lottó
loud	hangos
love	szerelem
loved	szeretett
lovely	bájos
lover	szerető
lovers	szerelmesek
loves	szeret
loving	szerető
low	alacsony
lower	Alsó
lowered	leeresztett
lowest	legalacsonyabb
loyal	hűséges
loyalty	hűség
ltd	kft
luck	szerencse
lucky	szerencsés
luggage	poggyász
lunar	hold
lunch	ebéd
lung	tüdő
lungs	tüdő
luxurious	fényűző
luxury	luxus
lying	fekvő
lyrics	dalszöveg
machine	gép
machinery	gépezet
machines	gépek
macro	makró
mad	őrült
made	készült
magazine	magazin
magazines	folyóiratok
magic	varázslat
magical	mágikus
magnesium	magnézium
magnetic	mágneses
magnificent	Káprázatos
magnitude	nagyságrendű
main	fő
mainland	szárazföld
mainly	főként
maintain	fenntartani
maintained	fenntartott
maintaining	fenntartása
maintains	fenntartja
maintenance	karbantartás
major	Jelentősebb
majority	többség
make	készítsenek
maker	készítő
makers	készítők
makes	teszi
makeup	smink
making	készítése
male	férfi
males	hímek
malignant	rosszindulatú
mall	pláza
malta	Málta
mammals	emlősök
man	Férfi
manage	kezelni
managed	sikerült
management	menedzsment
manager	menedzser
manages	kezeli
managing	irányító
mandate	megbízás
mandatory	kötelező
manifestations	megnyilvánulásai
mankind	emberiség
manner	módon
manor	kastély
mansion	kastély
manual	kézikönyv
manually	manuálisan
manufacture	gyártás
manufactured	gyártott
manufacturer	gyártó
manufacturers	gyártók
manufacturing	gyártás
manuscript	kézirat
many	sok
map	térkép
mapping	feltérképezése
maps	térképek
marathon	maraton
marble	üveggolyó
march	március
margin	árrés
marine	tengeri
maritime	tengeri
marked	megjelölt
markers	markerek
market	piac
marketed	forgalomba hozott
markets	piacokon
marking	jelzés
marks	jelek
marriage	házasság
married	házas
marry	feleségül vesz
martial	harcias
martin	Márton
marvel	csoda
masks	maszkok
mass	tömeg
massacre	mészárlás
massage	masszázs
masses	tömegek
massive	tömeges
master	fő
masters	mesterek
match	mérkőzés
matches	mérkőzések
matching	illesztése
mate	társ
material	anyag
materials	anyagokat
maternal	anyai
math	matematika
mathematical	matematikai
mathematics	matematika
matrix	mátrix
matter	ügy
matters	számít
mature	érett
mausoleums	mauzóleumok
maximum	maximális
may	lehet
maybe	talán
mayor	polgármester
me	nekem
meal	étkezés
meals	étkezések
mean	átlagos
meaning	jelentése
meaningful	jelentőségteljes
meanings	jelentések
means	eszközök
meant	jelentett
meantime	közben
meanwhile	közben
measure	intézkedés
measured	mért
measurement	mérés
measurements	mérések
measures	intézkedéseket
measuring	mérő
meat	hús
mechanical	mechanikai
mechanics	mechanika
mechanism	gépezet
mechanisms	mechanizmusok
medal	érem
medals	érmeket
media	média
median	középső
medical	orvosi
medication	gyógyszer
medications	gyógyszereket
medicinal	gyógyászati
medicine	gyógyszer
medicines	gyógyszerek
medieval	középkori
meditation	elmélkedés
mediterranean	mediterrán
medium	közepes
meet	találkozik
meeting	találkozó
meetings	találkozók
meets	találkozik
melody	dallam
melt	olvad
melted	olvasztott
melting	olvasztó
member	tag
members	tagjai
membership	tagság
membrane	membrán
membranes	membránok
memorial	emlékmű
memories	emlékek
men	férfiak
mental	szellemi
mentally	mentálisan
mention	említés
mentioned	említett
menu	menü
merchant	kereskedő
merchants	kereskedők
mercury	higany
mere	puszta
merge	összeolvad
merged	összeolvadt
merger	egyesülés
mesh	háló
mess	rendetlenség
message	üzenet
messages	üzenetek
met	találkozott
metabolic	metabolikus
metabolism	anyagcsere
metal	fém
metallic	fémes
metals	fémek
meter	méter
meters	méter
method	módszer
methodology	módszertan
methods	mód
metres	méter
metro	metró
metropolitan	nagyvárosi
mexican	mexikói
mexico	Mexikó
mice	egerek
micro	mikro
microorganisms	mikroorganizmusok
mid	középső
middle	középső
midnight	éjfél
might	esetleg
migration	migráció
mike	mikrofon
milan	Milánó
mild	enyhe
mile	mérföld
miles	mérföldre
military	katonai
milk	tej
mill	malom
millennium	évezred
miller	molnár
million	millió
millions	milliókat
mills	malmok
mind	ész
minded	gondolkodó
minds	elméket
mine	enyém
mineral	ásványi
minerals	ásványok
mines	bányák
minimal	minimális
minimize	minimalizálni
minimum	minimális
mining	bányászati
minister	miniszter
ministers	miniszterek
ministry	minisztérium
minor	kiskorú
minority	kisebbség
mint	menta
minute	perc
minutes	percek
miracle	csoda
mirror	tükör
miss	hiányzik
missed	nem fogadott
missile	rakéta
missiles	rakéták
missing	hiányzó
mission	küldetés
missions	küldetések
mistake	hiba
mistakes	hibákat
mix	keverd össze
mixed	vegyes
mixing	keverés
mixture	keverék
mobile	Mobil
mobility	mobilitás
mode	mód
model	modell
modeling	modellezés
models	modellek
moderate	mérsékelt
modes	módok
modest	szerény
modification	módosítás
modifications	módosítások
modified	módosított
modify	módosít
modular	moduláris
module	modul
modules	modulok
moisture	nedvesség
mold	öntőforma
molecular	molekuláris
molecule	molekula
molecules	molekulák
mom	anya
moment	pillanat
moments	pillanatok
momentum	lendület
monarchy	monarchia
monastery	kolostor
monday	hétfő
monetary	pénzügyi
money	pénz
monitored	figyelik
monitoring	megfigyelés
monk	szerzetes
monkey	majom
monkeys	majmok
monks	szerzetesek
monopoly	monopólium
monster	szörnyeteg
monsters	szörnyek
montenegro	Montenegró
month	hónap
monthly	havi
months	hónapok
monument	emlékmű
monuments	emlékművek
mood	hangulat
moon	hold
moral	erkölcsi
more	több
moreover	ráadásul
morning	reggel
morocco	Marokkó
mortality	halálozás
mortgage	jelzálog
Moscow	Moszkva
mosque	mecset
mosques	mecsetek
most	a legtöbb
mostly	többnyire
mother	anya
mothers	anyák
motion	mozgás
motivated	motivált
motivation	motiváció
motorcycle	motorbicikli
motors	motorok
mount	hegy
mountain	hegy
mountains	hegyek
mounted	felszerelt
mounting	beépítési
mouse	egér
mouth	száj
move	mozog
moved	megmozdult
movement	mozgalom
movements	mozgások
moves	mozog
movies	filmeket
moving	mozgó
Mr	úr
mrs	Asszony
ms	Kisasszony
much	sokkal
mud	sár
Muhammad	Mohamed
multi	több
multiple	többszörös
multiply	szaporodnak
munich	München
municipal	városi
municipalities	önkormányzatok
municipality	község
murder	gyilkosság
murdered	meggyilkolt
murders	gyilkosságok
muscle	izom
muscles	izmok
museum	múzeum
museums	múzeumok
mushroom	gomba
mushrooms	gombát
music	zene
musical	zenei
musician	zenész
musicians	zenészek
muslim	muszlim
muslims	muszlimok
must	kell
mutations	mutációk
mutual	kölcsönös
my	az én
myself	magamat
mysterious	rejtélyes
mystery	rejtély
myth	mítosz
mythology	mitológia
myths	mítoszok
nail	köröm
naive	naiv
naked	meztelen
name	név
named	nevezett
namely	ugyanis
names	neveket
napoleon	Napóleon
narrative	elbeszélés
narrow	keskeny
nasal	orr
nation	nemzet
national	nemzeti
nationalist	nacionalista
nationality	állampolgárság
nations	nemzetek
nationwide	országos
native	anyanyelvi
natural	természetes
naturally	természetesen
nature	természet
naval	haditengerészeti
navy	haditengerészet
Nazi	náci
near	közel
nearby	Közeli
nearest	legközelebbi
nearly	közel
necessarily	szükségszerűen
necessary	szükséges
neck	nyak
need	szükség
needed	szükséges
needle	tű
needs	igények
negative	negatív
negotiations	tárgyalásokat
neighbor	szomszéd
neighborhood	szomszédság
neighboring	szomszédos
neighbors	szomszédok
neither	se
nepal	Nepál
nephew	unokaöcs
nerve	ideg
nerves	idegek
nervous	ideges
nest	fészek
net	háló
netherlands	Hollandia
network	hálózat
networks	hálózatok
neural	idegi
neurons	neuronok
neutral	semleges
never	soha
nevertheless	Mindazonáltal
new	új
newly	újonnan
news	hírek
newspaper	újság
newspapers	újságok
next	következő
nice	szép
nicholas	Miklós
nickel	nikkel
nigeria	Nigéria
night	éjszaka
nights	éjszakák
nine	kilenc
nineteenth	tizenkilencedik
ninth	kilencedik
nitrogen	nitrogén
no	nem
noble	nemes
nobody	senki
node	csomópont
nodes	csomópontok
noise	zaj
noisy	zajos
nominated	jelölték
nomination	jelölés
non	nem
none	egyik sem
nonsense	ostobaság
noon	dél
nor	sem
normal	Normál
normally	normális esetben
norman	normann
norms	normák
north	északi
northeast	északkeleti
northern	északi
northwest	északnyugat
northwestern	északnyugati
norway	Norvégia
norwegian	norvég
nose	orr
not	nem
notable	jelentős
notably	nevezetesen
note	jegyzet
notebook	jegyzetfüzet
noted	neves
notes	jegyzetek
nothing	semmi
noticeable	észrevehető
noticed	megjegyezte
notion	fogalom
novel	regény
novels	regények
now	Most
nowadays	Manapság
nuclear	nukleáris
nucleus	atommag
number	szám
numbered	számozott
numbers	számok
numerous	számos
nurse	ápoló
nursing	gondozás
nutrients	tápanyagok
nutrition	táplálás
nutritional	táplálkozási
nuts	diófélék
oak	tölgy
obesity	elhízottság
obey	engedelmeskedik
object	tárgy
objective	célkitűzés
objectives	célokat
objects	tárgyakat
obligation	kötelezettség
obligations	kötelezettségeket
observation	megfigyelés
observations	megfigyelések
observe	megfigyelni
observed	megfigyelt
obstacles	akadályokat
obtain	szerezni
obtained	kapott
obvious	nyilvánvaló
obviously	magától értetődően
occasion	alkalom
occasional	alkalmi
occasionally	néha
occasions	alkalmak
occupation	Foglalkozása
occupied	megszállt
occupy	elfoglalni
occur	előfordul
occurred	történt
occurrence	esemény
occurring	előforduló
occurs	bekövetkezik
ocean	óceán
oceans	óceánok
october	október
odd	páratlan
of	nak,-nek
off	ki
offended	megsértődött
offensive	támadó
offer	ajánlat
offered	felajánlott
offering	ajánlat
offers	ajánlatokat
office	hivatal
officer	tiszt
officers	tisztek
offices	irodák
official	hivatalos
officially	hivatalosan
officials	tisztviselők
offset	beszámítás
offspring	utódok
often	gyakran
oh	ó
oil	olaj
oils	olajok
ok	rendben
okay	oké
old	régi
older	idősebb
oldest	legrégebbi
olive	olajbogyó
oliver	olivér
Olympic	olimpiai
olympics	olimpia
on	tovább
once	egyszer
one	egy
ones	azok
ongoing	folyamatban lévő
onion	hagyma
only	csak
onset	fellépő
onto	-ra
open	nyisd ki
opened	nyitott
opening	Nyítás
openly	nyíltan
opens	megnyílik
opera	opera
operate	működtet
operated	operált
operates	működik
operating	üzemeltetési
operation	művelet
operational	működőképes
operations	tevékenységek
operator	operátor
operators	operátorok
opinion	vélemény
opinions	vélemények
opponent	ellenfél
opponents	ellenfelek
opportunities	lehetőségeket
opportunity	lehetőség
oppose	ellenkezik
opposed	ellentétes
opposing	szemben álló
opposite	szemben
opposition	ellenzék
optical	optikai
optimal	optimális
optimization	optimalizálás
option	választási lehetőség
optional	választható
options	lehetőségek
or	vagy
oral	orális
orange	narancssárga
orbit	pálya
orchestra	zenekar
order	rendelés
ordered	elrendelte
orders	parancsokat
ordinary	rendes
ore	érc
organ	szerv
organic	organikus
organisation	szervezet
organisations	szervezetek
organised	szervezett
organism	szervezet
organisms	szervezetek
organization	szervezet
organizational	szervezeti
organizations	szervezetek
organize	szervez
organized	szervezett
organizing	szervezése
organs	szervek
orientation	irányultság
oriented	orientált
origin	eredet
original	eredeti
originally	eredetileg
originated	keletkezett
origins	eredet
orthodox	ortodox
other	Egyéb
others	mások
otherwise	másképp
Ottoman	török
our	a miénk
ourselves	minket
out	ki
outbreak	kitörés
outcome	eredmény
outcomes	eredmények
outdoor	szabadtéri
outer	külső
outfit	felszerelés
outlet	kimenet
outlets	kivezetések
output	Kimenet
outside	kívül
outstanding	kiemelkedő
oval	ovális
oven	sütő
over	felett
overall	átfogó
overcome	legyőzni
overnight	éjszakai
overseas	tengerentúli
overview	áttekintés
owe	tartozik
own	saját
owned	tulajdonában van
owner	tulajdonos
owners	tulajdonosok
ownership	tulajdonjog
owns	birtokolja
oxidation	oxidáció
oxide	oxid
oxygen	oxigén
pace	ütemben
pacific	békés
pack	csomag
package	csomag
packages	csomagokat
packaging	csomagolás
packed	csomagolt
pad	párna
pads	párnák
page	oldalon
pages	oldalakat
paid	fizetett
pain	fájdalom
painful	fájdalmas
paint	festék
painted	festett
painter	festő
painting	festmény
paintings	festmények
pair	pár
pairs	párok
Pakistan	Pakisztán
Pakistani	pakisztáni
palace	palota
pale	sápadt
palm	tenyér
pandemic	világjárvány
panels	panelek
panic	pánik
pants	nadrág
paper	papír
papers	papírokat
parade	felvonulás
paradise	paradicsom
paragraph	bekezdés
parallel	párhuzamos
parameter	paraméter
parameters	paramétereket
parasites	paraziták
parent	szülő
parents	szülők
Paris	Párizs
parish	plébánia
parked	leparkolt
parking	parkolás
parks	parkok
parliament	parlament
parliamentary	parlamenti
part	rész
partial	részleges
partially	részben
participants	résztvevők
participate	részt venni
participated	részt vett
participating	részt
participation	részvétel
particle	részecske
particles	részecskék
particular	különös
particularly	különösen
parties	a felek
partly	részben
partners	partnerek
partnership	partnerség
parts	alkatrészek
party	buli
passage	átjáró, átkelés
passed	átment
passenger	utas
passengers	utasok
passes	passzol
passing	elhaladó
passion	szenvedély
passionate	szenvedélyes
passive	passzív
passport	útlevél
password	Jelszó
past	múlt
pasta	tészta
paste	paszta
patch	tapasz
patches	foltok
patent	szabadalom
patented	szabadalmaztatott
path	pálya
pathology	patológia
paths	utak
pathway	útvonalat
patience	türelem
patient	beteg
patients	betegek
patrol	járőr
patron	mecénás
pattern	minta
patterns	minták
paul	Pál
pay	fizetés
paying	fizető
payment	fizetés
payments	kifizetések
pays	fizet
peace	béke
peaceful	Békés
peak	csúcs
peaks	csúcsok
pearl	gyöngyszem
peasants	parasztok
peel	héj
peer	egyenrangú
pen	toll
penalty	büntetés
pencil	ceruza
peninsula	félsziget
pension	nyugdíj
people	emberek
peoples	népek
pepper	bors
perceived	érzékelt
percent	százalék
percentage	százalék
perception	észlelés
perfect	tökéletes
perform	előadni
performance	teljesítmény
performances	előadások
performed	teljesített
performing	előadó
performs	végez
perhaps	talán
period	időszak
periodic	időszakos
periods	időszakokban
peripheral	kerületi
permanent	állandó
permanently	tartósan
permission	engedély
permit	engedély
permitted	megengedett
perry	körtebor
persecution	üldözés
persian	perzsa
persistent	kitartó
person	személy
personal	személyes
personality	személyiség
personally	személyesen
personnel	személyzet
persons	személyek
perspective	perspektíva
pet	házi kedvenc
peter	Péter
pets	háziállatok
petty	piti
pharmaceutical	gyógyszerészeti
pharmacy	gyógyszertár
phase	fázis
phases	fázisok
phenomena	jelenségek
phenomenon	jelenség
Philippine	Fülöp
philippines	Fülöp-szigetek
philosophers	filozófusok
philosophical	filozófiai
philosophy	filozófia
Phoenix	Főnix
phone	telefon
phones	telefonok
phosphate	foszfát
photo	fénykép
photographer	fotós
photographs	fényképeket
photography	fényképezés
photos	fényképeket
phrase	kifejezés
phrases	kifejezéseket
physical	fizikai
physically	fizikailag
physician	orvos
physics	fizika
physiological	fiziológiai
piano	zongora
pick	szed
picked	válogatott
picking	szedés
picture	kép
pictures	képeket
pie	pite
piece	darab
pieces	darabok
pig	malac
pile	halom
pillow	párna
pills	tabletták
pilot	pilóta
pilots	pilóták
pine	fenyő
pink	rózsaszín
pioneer	úttörő
pipe	cső
pipes	csövek
pirates	kalózok
pit	gödör
pitch	hangmagasság
pity	kár
place	hely
placed	helyezett
placement	elhelyezés
places	helyeken
placing	elhelyezése
plague	pestis
plain	egyszerű
plains	síkságon
plan	terv
plane	repülőgép
planes	repülőgépek
planet	bolygó
planetary	planetáris
planets	bolygók
planned	tervezett
planning	tervezés
plans	terveket
plant	növény
planted	beültetett
planting	ültetés
plants	növények
plasma	vérplazma
plastic	műanyag
plate	lemez
plateau	fennsík
plates	tányérok
platform	felület
platforms	platformok
platinum	platina
play	játék
played	játszott
player	játékos
players	játékosok
playing	játszik
plays	játszik
playstation	Play Station
plaza	köztér
pleasant	kellemes
please	kérem
pleased	elégedett
pleasure	öröm
plenty	bőven
plot	cselekmény
plug	dugó
plus	plusz
pneumonia	tüdőgyulladás
pocket	zseb
pockets	zsebek
poem	vers
poems	verseket
poet	költő
poetry	költészet
point	pont
pointed	hegyes
points	pontokat
poison	méreg
poisoning	mérgezés
poisonous	mérgező
poker	póker
poland	Lengyelország
polar	poláris
pole	pólus
poles	pólusok
police	rendőrség
policies	irányelveket
policy	irányelv
polish	fényesít
polished	csiszolt
polite	udvarias
political	politikai
politically	politikailag
politician	politikus
politicians	politikusok
politics	politika
poll	közvélemény kutatás
pollution	környezetszennyezés
polymer	polimer
polymers	polimerek
pond	tavacska
pool	medence
pools	medencék
poor	szegény
poorly	rosszul
pope	pápa
popular	népszerű
popularity	népszerűség
populated	benépesített
population	népesség
populations	populációk
pork	sertéshús
port	kikötő
portable	hordozható
portal	portál
portion	adag
portions	adagokat
portrait	portré
portrayed	ábrázolták
ports	portok
Portugal	Portugália
portuguese	portugál
pose	póz
position	pozíció
positions	pozíciókat
positive	pozitív
possess	birtokolni
possession	birtoklása
possibilities	lehetőségeket
possibility	lehetőség
possible	lehetséges
possibly	esetleg
post	hozzászólás
posted	közzétéve
posterior	hátulsó
postponed	elhalasztották
posts	hozzászólások
pot	edény
potassium	kálium
potato	burgonya
potatoes	krumpli
potential	lehetséges
potentially	potenciálisan
potter	fazekas
pounds	fontot
pour	önteni
poured	öntött
poverty	szegénység
powder	por
power	erő
powered	hajtású
powerful	erős
powers	hatáskörök
practical	gyakorlati
practically	gyakorlatilag
practice	gyakorlat
practiced	gyakorolt
practices	gyakorlatok
practicing	gyakorló
practitioners	gyakorlók
praise	dicséret
praised	dicsérte
pray	imádkozik
prayer	ima
prayers	imák
pre	elő
precious	értékes
precipitation	csapadék
